Propriétaire du contact,Commercial,Représentant légale,Nom commercial,Numéro de téléphone,Adresse e-mail,ADRESSE,SECTEUR,METIER/Description,SIRET,IDCC,Note à moi même,Conclusion
galmar.commercial@disciplina.re,Brandon,,CABINET DENTAIRE DE LA BRETAGNE,262526573,csmlutel@gmail.com,LA BRETAGNE 158 ROUTE GABRIEL MACE (C.D. 50) 97400 SAINT-DENIS,Saint-Denis,Assistante de direction,93986157100015,,Deja une apprentie,Prise de contact 14/1/2026
galmar.commercial@disciplina.re,Brandon,,BIRGIT HEIP SAINT-DENIS,262281934,,58 AVENUE LECONTE DE LISLE 97490 SAINT-DENIS,Saint-Denis,Assistante de direction/secretaire assistant,74995445900048,,Deja une apprentie,Ne repond pas 14/1/2026
galmar.commercial@disciplina.re,Brandon,,YOYOSO ST DENIS,0262 31 84 45,eriika.charmant@gmail.com,55 RUE JULIETTE DODU 97400 SAINT-DENIS,Saint-Denis,Conseil Vente,85378580600037,,Ne recrute plus d'alternance pour l'instant,"Non definitif,pas intéréssé par l'OF 15/01/2026"
galmar.commercial@disciplina.re,Brandon,,VOGUE ST DENIS,262419549,,7 GALERIE VOGUE 160 RUE DU MARECHAL LECLERC 97400 SAINT-DENIS,Saint-Denis,Conseil Vente,41428146900109,,A deja une apprente,Non definitif LE 14/1/26
galmar.commercial@disciplina.re,Brandon,,TRANSAK AUTO ST DENIS, 0693 43 59 94,,80 RUE DU MARECHAL LECLERC 97400 SAINT-DENIS,Saint-Denis,Negociateur technico commercial,31086432700047,,,NUMERO INVALIDE
galmar.commercial@disciplina.re,Brandon,,KENZA MODE METISSE,262505167,,337 CHEMIN LEFAGUYES 97440 SAINT-ANDRE,Saint- Andre,Conseil Vente,98089278000035,,"Entretien concluant,accepte l'apprentissage",Non 14/1/2026
galmar.commercial@disciplina.re,Brandon,,M LOC 974,262745228,,,Sainte-Suzanne,Negociateur technico commercial,95384861100018,,,Revient ver smoi pour une reponse 14/1/2016
galmar.commercial@disciplina.re,Brandon,,pardon st denis,26411562,,"96 r Jean Chatel, 97400 Saint Denis ·",SAINT DENIS,Assistant admnisistratif,98960309700019,,Ne recrute plus de contrat d'apprentissage, 
galmar.commercial@disciplina.re,Brandon,,EURO BETON,02 62 51 32 76,,LA MARE 4 CHEMIN MAURICE MANGLOU ,Sainte-Marie,Negociateur technico commercial,49021969800019,,Cherche un commercial uniquement en cdi,non definitif
galmar.commercial@disciplina.re,Brandon,,PIECENSTOCK ST DENIS,262860010,contact@piecesenstock.re  /aluciat@citadelle-sa.com,,,,84383891300054,,"a des apprenti,veut etudier la brochure",Prise de contact le 15/01/2026
galmar.commercial@disciplina.re,Brandon,,VOGUE STE MARIE,262210180,,"156 Rue du Maréchal Leclerc, Saint-Denis 97400, La Réunion",STE MARIE,Conseil Vente,41428146900125,,Ne recrute plus de contrat d'apprentissage,non definitif
galmar.commercial@disciplina.re,Brandon,,QUINCAILLERIE ANGLES,02 62 41 41 64,reunionpro@quincaillerie-angles.fr,DUPARC 12 RUE CONCORDE 97438 SAINTE-MARIE,STE MARIE,Conseil vente,43383001500452,,Ne s'occupe pas des recrutement,"A etudier,AB et catalogue envoyé le 14/01/2026"
galmar.commercial@disciplina.re,Brandon,Mme  VANESSA LAROQUE,SASA STYL' CONCEPT,0693 61 11 00,sasastyl.concept@gmail.com,"41 CHEMIN LAPLAGNE, ", SAINT-PIERRE,Conseil pour les affaires et autres conseils de gestion,94768134200012,,Recherche une secrétaire,"AB et mandat envoyé, accepte le partenariat"
galmar.commercial@disciplina.re,Brandon,,THE ORIGINAL SHOP ,262468631,stdenis@the-original-shop.com,"52 r Jean Chatel, 97400 Saint Denis",Saint-Denis,Conseil Vente,79383386400069,,A signé le mandat sur le terrain,Mandat envoyé aux rh
galmar.commercial@disciplina.re,Brandon,,FRITEC ,262949594,,,,Conseil vente,,,Ne recrute plus de contrat d'apprentissage,NE REPOND PAS 14/1/2026
galmar.commercial@disciplina.re,Brandon,,SAM CAW FREVE GARAGE,262502158,scfsgarage@gmail.com,Bras Fusil 60 rue Sandragons 97470 Saint Benoît ,Saint -Benoit,Conseil Vente,52428693700015,,"Recrute un commercial,veut collaborer","AB et mandat envoyé, accepte le partenariat"
galmar.commercial@disciplina.re,Brandon,,SOS INCENDIE,261202359,mamode.sosincendie@gmail,"12 Rue du Butor, Saint-Denis 97400, La Réunion",Saint- Denis,Conseil Vente,262 262 20 23 59,,"Reccherche un commercial,veut collaborer","AB et mandat envoyé, accepte le partenariat"
galmar.commercial@disciplina.re,Brandon,,AUTREMENT LIBRAIRIE,0262 35 35 35,serviceclient@sa-autrement.com / imran.mollan@sa-autrement.com,82 Rue Juliette Dodu,Saint-Denis,Conseil Vente,34781105100023,,A rappeler le 9/9/2025,Prise de contact le 24/02/2026
galmar.commercial@disciplina.re,Brandon,,SAN MARINA CHAUSSURE,262353535 / 0262975300,sadu@groupejina.com / assistante.rh@groupejina.com,,Saint-Denis,Conseil Vente,,,NE RECRUTE pas de contrat d'apprentissage pour le moment,Prise de contact le 14/01/2026
galmar.commercial@disciplina.re,Brandon,,MINISO ST ANDRE,262753603,standre@miniso.re    assistant.rh@gks.re,,St andre,Conseil vente,,,Ne recrute pas avant fevrier,Prise de contact le 14/01/2026
galmar.commercial@disciplina.re,Brandon,,CROIX ROUGE ST DENIS,262909667,grh.reunion@croix-rouge.fr,4 RUE MEZIAIRE GUIGNARD,Saint-Denis,Assistante Administrative,42231711500034,,"a besoin d'une assitante, mais  ne s'occupe pas des candidatures",Prise de contact le 14/01/2026
galmar.commercial@disciplina.re,Brandon,,ODICOLOR ST DENIS,262309309,,,Saint-Denis,Conseil Vente,,,ne recrute pas d'alternant, 
galmar.commercial@disciplina.re,Brandon,,RUN THE COM,693320579,,,,Negociateur technico commercial,,,NE RECRUTE pas de contrat d'apprentissage pour le moment,non définitif 15/1/12026
galmar.commercial@disciplina.re,Brandon,,DJINA AUTO,692 05 45 30,,,,Negociateur technico commercial,,,Ne veut pas d'appreni,Non définitif 15/1/2026
galmar.commercial@disciplina.re,Brandon,,ZOORIT,262925123,info@zoorit.com,,Saint Denis,Negociateur technico commercial,,,Accepte le partenariat,"AB et mandat envoyé, accepte le partenariat"
galmar.commercial@disciplina.re,Brandon,,LE PETIT COIN FRAIS,,,,,,,,a deja des apprenti,Non définitif
galmar.commercial@disciplina.re,Brandon,,CARREFOUR ST BENOIT,262929595,,,Saint-Benoit,Conseil Vente,,,ne recrute pas d'alternant,Ne rpd pas 19/1/2016
galmar.commercial@disciplina.re,Brandon,,TOP AUTO COMPETITION,,contact@topautocompetition.com,,,Conseil Vente,,,Accepte le partenariat veut un ntc et un cc,ne repond pas le 19/1/2026
galmar.commercial@disciplina.re,Brandon,,LEON PIECES AUTOS,262232489,aurelie.lpa@gmail.com,,Saint-André,Conseil Vente,,,A deja un apprenti,Oui le 19/02/2026 
galmar.commercial@disciplina.re,Brandon,,EQUIP AUTOS ST ANDRE,262585656,,,Saint-André,Conseil Vente,,,,
galmar.commercial@disciplina.re,Brandon,,BNP PARIBAS,,contact.reunion@bnpparibas.com,,Saint-Denis,Negociateur technico commercial,,,ne recoit que sur place,Visite prévu le 18/9
galmar.commercial@disciplina.re,Brandon,,POMPES FUNEBRES AZOROI,262867669,pompesfunebres.azor@yahoo.fr,,Saint-André,Assistante Direction,,,A voir avec sa rh,Prise de contact le 15/01/2026
galmar.commercial@disciplina.re,Brandon,,NPS SAINT-ANDRE,02 62 52 72 18,,,Saint-André,Conseil Vente,,,Ne veut pas d'alternant,Numero non accessible le 19/01/2026
galmar.commercial@disciplina.re,Brandon,,SHOPPY ST ANDRE,262 116 653,copieshoppy@gmail.com,,Saint-André,Conseiln Vente,81375046000020,,pas en période de recrutement,NON LE 09/04/2026
galmar.commercial@disciplina.re,Brandon,contact@pmf.re,PMF ST ANDRE,,,,Saint-André,Conseil Vente,,,,Prise de contact envoyé aux rh
galmar.commercial@disciplina.re,Brandon,,Jina ste Suzanne,262412276,assistante.rh@groupejina.com,,Sainte-Suzanne,Conseil Vente,,,"Numéro du siége echangé,recrute en alternance",AB + mandat envoyé au rh
galmar.commercial@disciplina.re,Brandon,,KENZA MODE METISSE,,,,Saint-André,Conseil Vente,,,"AB et mandat déposé sur le terrain,souhaite un rendez vous le lundi 15/09",NE RECRUTE PAS LE 15/1/2026
galmar.commercial@disciplina.re,Brandon,,TAM TAM TABOO,,,,Sainte-Marie,Conseil Vente,,,A rappeler le mardi 16 lorsque le recruteur est présent,Ne recrute pas
galmar.commercial@disciplina.re,Brandon,,OTO PIECES AUTO ,,,,Saint-Benoit,Conseil Vente,,,Responsable Ne repond pas après multiples relance,Ne repond pas
galmar.commercial@disciplina.re,Brandon,,RESTAURANT LE TUIT-TUIT,,,,,Responsale d'etablissemnt marchand,,,$$,Attend de voir si le besoin d'un rem est présent
galmar.commercial@disciplina.re,Brandon,,NASSIBOU AUTO ECOLE,262201301,,,,,,,Ne repond pas malgré plusieurs appels,A rappler dans plusieurs semaines
galmar.commercial@disciplina.re,Brandon,,IRRIJARDIN,262330777,,,,Conseil Vente,,,recherche un commercial uniquement en cdi,Ne repond pas 15/01/26
galmar.commercial@disciplina.re,Brandon,,DISTRI PC ST ANDRE,262910202,,,Saint-André,Conseil Vente,40194463200199,,Ne recrute pas d'apprenti,non définitif
galmar.commercial@disciplina.re,Brandon,,LA FOIRE FOUILLES ST DENIS,262484444,,,,Conseil Vente,,,Ne recrute pas d'apprenti,non définitif
galmar.commercial@disciplina.re,Brandon,,LA FOIRE FOUILLES ST ANDRE,,,,,Conseil Vente,,,Ne recrute pas d'apprenti,non définitif
galmar.commercial@disciplina.re,Brandon,,KAZ DECOR ST BENOIT,262503753,,,,Conseil Vente,,,Ne repond pas malgré plusieurs appels,
galmar.commercial@disciplina.re,Brandon,,VCS IMPORT,262 41 47 38,contact@vcsimport.fr,,,Conseil Vente,,,"Pourrait etre intéréssé,prise de contact",Prise de contact le 23/03/2026
galmar.commercial@disciplina.re,Brandon,,ODICOLOR ST ANDRE,262320311,,,,Conseil Vente,52752818600044,,Ne recrute pas d'apprenti,Pas joignable le 10/01/2026
galmar.commercial@disciplina.re,Brandon,,BLEU LIBELLULE,262586234,,,,Conseil Vente,,,Ne recrute pas d'apprenti,Non defnitif
galmar.commercial@disciplina.re,Brandon,,LA ZONE ST ANDRE ,692363389,,,,Conseil Vente,,,Ne repond pas malgré plusieurs appels,Non définitf
galmar.commercial@disciplina.re,Brandon,,GREEN ISLAND,262535942,bobate3@gmail.com,,,Conseil Vente,,,Aux complet,Prise de contact le 3/2/2026
galmar.commercial@disciplina.re,Brandon,,THAT'S EAT ,262535842/ 262 262 09 50 88,,,,Conseil Vente,,,Ne recrute pas d'apprenti,Ne repond pas le 3/2/2026
galmar.commercial@disciplina.re,Brandon,,SNACK DAN,0262 97 23 90,,,,Conseil Vente,,,Ne recrute pas d'apprenti,mauvais numéro
galmar.commercial@disciplina.re,Brandon,,DJINA AUTO,262302108,,,,Conseil Vente,,,Ne recrute pas d'apprenti,Non definif
galmar.commercial@disciplina.re,Brandon,,NAUTILUS CP,262411515,,,,Negociateur Technico Commercial,,,Ne recrute pas d'apprenti,Non définitif
galmar.commercial@disciplina.re,Brandon,,MONDAY L'AGENCE,262201142,saint-denis@monday.re,,,Negociateur Technico Commercial,,,OUI,OUI le 20/01/2026
galmar.commercial@disciplina.re,Brandon,,AMORINO,695979774,,,,Responsable d'etablissement Marchande,,,Ne recrute pas d'apprenti,Ne repond pas le 20/01/2026
galmar.commercial@disciplina.re,Brandon,,ALIZEE BOULANGERIE,262217572,,,,Conseil Vente,42013229200012,,"Pas intéréssé ni par lof, ni par l'apprentissage",NON DEFINITIF LE 26/01/2026
galmar.commercial@disciplina.re,Brandon,,HANNAH CHAUSSURE,262463921,,,,Consei vente,,,Ne recrute pas d'apprenti,Non définif
galmar.commercial@disciplina.re,Brandon,,BRAZILIAN SHOES ST ANDRE,262287287,sasuiamk@gmail.com,,,Conseil vente,,,visite terrain le 04/11/2025,Oui
galmar.commercial@disciplina.re,Brandon,,BRAZILIAN SHOES STE MARIE,°262287189,,,,Conseil vente,,,Ne recrute pas d'apprenti,A relancer
galmar.commercial@disciplina.re,Brandon,,APPROSTOCK,262946510,,,,Conseil vente,,,Ne repond pas,Ne repond pas le 20/01/2026
galmar.commercial@disciplina.re,Brandon,,FRESH BURRITOS,262296265,,,,Conseil Vente,,,,Ne repond pas le 19/01/2026
galmar.commercial@disciplina.re,Brandon,,HOTEL RESTAURANT LE TUIT-TUIT,262150606,direction@tuit-tuit.com,13 RUE DES JARDIES 97431 LA PLAINE-DES-PALMISTES,La plaine des palmistes,Conseil Vente,83161366600039,,"Est intéréssé par l'apprentissage, accepte la collaboration","AB + Mandant envoyé au rh, accepte le partenariat"
galmar.commercial@disciplina.re,Brandon,,POK POK,262460089,,78 RUE ALEXIS DE VILLENEUVE saint denis,,Conseil vente,,,,
galmar.commercial@disciplina.re,Brandon,,MAMZELL STREET FOOD,693900934,recrutement@mamzel.re,"Centre Commercial Duparc, 97438 Sainte-Marie",Sainte-Marie,Conseil Vente,,,"Est intéréssé par l'apprentissage, accpte la collaboration",Ne repond pas le 19/1/2026
galmar.commercial@disciplina.re,Brandon,,CHOCOLA TE,0693 62 62 46,,115 RUE ROLAND GARROS,Saint-Denis,Conseil Vente,,,"Est intéréssé par l'apprentissage, accpte la collaboration","AB + Mandat envoyé au rh, accepte le partenariat"
galmar.commercial@disciplina.re,Brandon,,BM AUTO,693002345,,,,Conseil Vente,,,Etudie avec son patron pour savoir si ils peuvent prendre,Prise de contact envoyé le 20/1/2026
galmar.commercial@disciplina.re,Brandon,,Brazilian shoes st andre ,692659501,,,Saint Andre,Conseil vente,,,Ne repond pas apres 5 tentative cette semaine,client chez nous
galmar.commercial@disciplina.re,Brandon,,Monday st andre,262302743,,,Saint Andre,Conseil vente,,,Ne repond pas apres plusieurs tentative cette semaine,Ne repond pas le 20/01/2026
galmar.commercial@disciplina.re,Brandon,, WEIN LOCATION ST BENOIT,262262262,,,Saint-Benoit,Negociateur Technico Commercial,,,Ne recrute pas d'alternant,Non Définitif
galmar.commercial@disciplina.re,Brandon,,A reessayer dans plusieurs semaine ,262871006,,,Saint-Andre,Conseil Vente,,,Ne recrute pas d'alternant,A reessayer dans plusieurs semaine
galmar.commercial@disciplina.re,Brandon,,SAE ST DENIS,692662250,magasin.nord1@sae-reunion.com,,Saint-Denis,Conseil Vente,,,Ne veut pas d'apprenti,Non definitif 20/01/2026
galmar.commercial@disciplina.re,Brandon,,PARIS MODE,262975300,,,,Conseil Vente,,,Ne veut pas d'apprenti,GROUPE JINE 20/01/2026
galmar.commercial@disciplina.re,Brandon,,109 Distrib st denis,0692 63 55 88,rh@solynvest.re,,,Conseil Vente,,,Ne repond pas malgré plusieurs appel,Prise de contact envoyé aux rh le 20/01/2026
galmar.commercial@disciplina.re,Brandon,,AES STE CLOTILDE,262526957,,,,Conseil Vente,,,Ne veut pas d'apprenti,ne repond pas le 20/01/2026
galmar.commercial@disciplina.re,Brandon,,CLARKS ST DENIS,02 62 52 69 57,,,,Conseil Vente,,,Ne repond pas malgré plusieurs appel,Ne repond pas le 20/01/2026
galmar.commercial@disciplina.re,Brandon,,GEOX ST DENIS,262524832,,,,Conseil Vente,,,Ne veut pas d'apprenti,Ne repond pas le 26/1/2026
galmar.commercial@disciplina.re,Brandon,,VDP STOCK,262280557,,,,Conseil Vente,,,Ne veut pas d'apprenti,Non Définitif
galmar.commercial@disciplina.re,Brandon,,RRUNWIC,262304998,,,,Conseil Vente,,,Ne veut pas d'apprenti,Non Définitif
galmar.commercial@disciplina.re,Brandon,,VITAL STORE,262304998,,,,Conseil Vente,,,Ne repond pas malgré plusieurs appel,Ne repond pas le 26/1/2026
galmar.commercial@disciplina.re,Brandon,,ARBRE A PAIN,262371887,pdg3@casta.re,,,Conseil Vente,,,Recherche une vendeuse mais pas en alternance,Non le 24/02/2026
galmar.commercial@disciplina.re,Brandon,,CASH OI STE MARIE,262900880,yohan.clain@caille.com,,,Conseil Vente,,,Ne repond pas,Prise de contact le 26/01/2026
galmar.commercial@disciplina.re,Brandon,,DSJ DISTRIBUTION,262255225,,,,Negociateur Technico Commercial,,,Mauvaise experience avec l'apprentissage et ne souhaite plus du tout ,Messagerie le 11/02/2026
galmar.commercial@disciplina.re,Brandon,,NXO OCEAN INDIEN,262907070,gen-rh-oi@nxo.eu,,,Negociateur Technico Commercial,,,AB+ MANDAT ET CATALOGUE nevoyé aux rh,Prise de contact envoyé le 20/01/2026
galmar.commercial@disciplina.re,Brandon,,FICTEL FORCE INGERIE,262294433,fictel@wanadoo.fr,,,Negociateur Technico Commercial,,,Ne repond pas malgré plusieurs appel,Non définitif le 20/01/2026
galmar.commercial@disciplina.re,Brandon,,Numéro non attribué le 08/04/2026,693612620,,,SAINT ANDRE,Conseil Vente,,,Ne repond pas malgré plusieurs appel,Ne repond pas le 26/1/2026
galmar.commercial@disciplina.re,Brandon,,L'ECLAIR DORE,262211442,,,SAINT DENIS,Conseil Vente,,,Ne veut pas d'apprenti,Ne repond pas le 26/1/2026
galmar.commercial@disciplina.re,Brandon,,GRAND LITIER ST DENIS,262382888,,,,Conseil Vente,,,Déja au complet,Non définitif le 26/01/2026
galmar.commercial@disciplina.re,Brandon,,R ELECTRO ST DENIS,262904040,ericka.chaffre@ravate.com,,ST DENIS,Conseil Vente,,,AB + MANDAT envoyé aux rh,A reflechir le 26/01/2026
